,time_s,speed_ms,incremental_distance,cumulative_distance,acceleration_mss,power_W,incremental_energy_J,cumulative_energy_J
0,0,1.0,1.0,1.0,1,1815.1698375000003,1815.1698375000003,1815.1698375000003
1,1,2.0,2.0,3.0,1,3635.2017000000005,3635.2017000000005,5450.371537500001
2,2,3.0,3.0,6.0,1,5464.9576125,5464.9576125,10915.329150000001
3,3,4.0,4.0,10.0,1,7309.299600000001,7309.299600000001,18224.628750000003
4,4,5.0,5.0,15.0,1,9173.0896875,9173.0896875,27397.718437500003
5,5,6.0,6.0,21.0,1,11061.189900000001,11061.189900000001,38458.908337500005
6,6,7.0,7.0,28.0,1,12978.462262500001,12978.462262500001,51437.37060000001
7,7,8.0,8.0,36.0,1,14929.768800000002,14929.768800000002,66367.13940000001
8,8,9.0,9.0,45.0,1,16919.9715375,16919.9715375,83287.11093750002
9,9,10.0,10.0,55.0,1,18953.932500000003,18953.932500000003,102241.04343750002
10,10,11.0,11.0,66.0,1,21036.5137125,21036.5137125,123277.55715000002
11,11,11.176,11.176,77.176,1,21408.44457795374,21408.44457795374,144686.00172795376
12,12,11.176,11.176,88.352,0,5571.443485953734,5571.443485953734,150257.4452139075
13,13,11.176,11.176,99.528,0,5571.443485953734,5571.443485953734,155828.8886998612
14,14,11.176,11.176,110.70400000000001,0,5571.443485953734,5571.443485953734,161400.33218581494
15,15,11.176,11.176,121.88000000000001,0,5571.443485953734,5571.443485953734,166971.77567176867
16,16,11.176,11.176,133.056,0,5571.443485953734,5571.443485953734,172543.2191577224
17,17,11.176,11.176,144.232,0,5571.443485953734,5571.443485953734,178114.66264367613
18,18,11.176,11.176,155.408,0,5571.443485953734,5571.443485953734,183686.10612962986
19,19,11.176,11.176,166.58399999999997,0,5571.443485953734,5571.443485953734,189257.5496155836
20,20,11.176,11.176,177.75999999999996,0,5571.443485953734,5571.443485953734,194828.99310153731
21,21,11.176,11.176,188.93599999999995,0,5571.443485953734,5571.443485953734,200400.43658749104
22,22,11.176,11.176,200.11199999999994,0,5571.443485953734,5571.443485953734,205971.88007344477
23,23,11.176,11.176,211.28799999999993,0,5571.443485953734,5571.443485953734,211543.3235593985
24,24,11.176,11.176,222.4639999999999,0,5571.443485953734,5571.443485953734,217114.76704535223
25,25,11.176,11.176,233.6399999999999,0,5571.443485953734,5571.443485953734,222686.21053130596
26,26,11.176,11.176,244.8159999999999,0,5571.443485953734,5571.443485953734,228257.6540172597
27,27,11.176,11.176,255.99199999999988,0,5571.443485953734,5571.443485953734,233829.09750321342
28,28,11.176,11.176,267.1679999999999,0,5571.443485953734,5571.443485953734,239400.54098916714
29,29,11.176,11.176,278.3439999999999,0,5571.443485953734,5571.443485953734,244971.98447512087
30,30,11.176,11.176,289.51999999999987,0,5571.443485953734,5571.443485953734,250543.4279610746
31,31,11.176,11.176,300.69599999999986,0,5571.443485953734,5571.443485953734,256114.87144702833
32,32,11.176,11.176,311.87199999999984,0,5571.443485953734,5571.443485953734,261686.31493298206
33,33,11.176,11.176,323.04799999999983,0,5571.443485953734,5571.443485953734,267257.7584189358
