,time_s,speed_ms,incremental_distance,cumulative_distance,acceleration_mss,power_W,cumulative_energy,incremental_energy_J,segment_number
0,0.0,0.0,0.0,0.0,,,,,1
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21,117.12103999991614,0.15000000000000002,0.0031559999875980793,0.0031559999875980793,0.75,219.01711613906255,21.901711613906258,21.901711613906258,2
22,118.12103999991614,0.0,0.0,0.0031559999875980793,-0.983488,0.0,21.901711613906258,0.0,3
23,119.12103999991614,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
24,120.12103999991614,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
25,121.12103999991614,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
26,122.12103999991614,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
27,123.12103999991614,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
28,124.12103999991614,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
29,125.12103999991614,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
30,126.12103999991614,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
31,127.12103999991614,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
32,128.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
33,129.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
34,130.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
35,131.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
36,132.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
37,133.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
38,134.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
39,135.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
40,136.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
41,137.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
42,138.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
43,139.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
44,140.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
45,141.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
46,142.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
47,143.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
48,144.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
49,145.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
50,146.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
51,147.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
52,148.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
53,149.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
54,150.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
55,151.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
56,152.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
57,153.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
58,154.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
59,155.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
60,156.12103999991615,0.0,0.0,0.0031559999875980793,0.0,0.0,21.901711613906258,0.0,3
61,322.87738666632026,0.15000000000000002,0.008451999961380352,0.011607999948978431,0.75,219.01711613906255,43.803423227812516,21.901711613906258,4
62,323.87738666632026,0.0,0.0,0.011607999948978431,-0.625856,0.0,43.803423227812516,0.0,5
63,324.87738666632026,0.0,0.0,0.011607999948978431,0.0,0.0,43.803423227812516,0.0,5
64,325.87738666632026,0.0,0.0,0.011607999948978431,0.0,0.0,43.803423227812516,0.0,5
65,326.87738666632026,0.0,0.0,0.011607999948978431,0.0,0.0,43.803423227812516,0.0,5
66,327.87738666632026,0.0,0.0,0.011607999948978431,0.0,0.0,43.803423227812516,0.0,5
67,328.87738666632026,0.0,0.0,0.011607999948978431,0.0,0.0,43.803423227812516,0.0,5
68,329.87738666632026,0.0,0.0,0.011607999948978431,0.0,0.0,43.803423227812516,0.0,5
69,330.87738666632026,0.0,0.0,0.011607999948978431,0.0,0.0,43.803423227812516,0.0,5
70,331.87738666632026,0.0,0.0,0.011607999948978431,0.0,0.0,43.803423227812516,0.0,5
71,332.87738666632026,0.0,0.0,0.011607999948978431,0.0,0.0,43.803423227812516,0.0,5
72,333.87738666632026,0.0,0.0,0.011607999948978431,0.0,0.0,43.803423227812516,0.0,5
73,334.87738666632026,0.0,0.0,0.011607999948978431,0.0,0.0,43.803423227812516,0.0,5
74,335.87738666632026,0.0,0.0,0.011607999948978431,0.0,0.0,43.803423227812516,0.0,5
75,336.87738666632026,0.0,0.0,0.011607999948978431,0.0,0.0,43.803423227812516,0.0,5
76,386.67738666640025,0.025,1.9895196601282805e-12,0.011607999950967951,0.25,18.78922828652344,45.68234605646486,1.878922828652344,6
77,387.67738666640025,0.0,0.0,0.011607999950967951,-0.938784,0.0,45.68234605646486,0.0,7
78,388.67738666640025,0.0,0.0,0.011607999950967951,0.0,0.0,45.68234605646486,0.0,7
79,389.67738666640025,0.0,0.0,0.011607999950967951,0.0,0.0,45.68234605646486,0.0,7
80,390.67738666640025,0.0,0.0,0.011607999950967951,0.0,0.0,45.68234605646486,0.0,7
81,391.67738666640025,0.0,0.0,0.011607999950967951,0.0,0.0,45.68234605646486,0.0,7
82,392.67738666640025,0.0,0.0,0.011607999950967951,0.0,0.0,45.68234605646486,0.0,7
83,419.2414133330657,0.15000000000000002,0.009603999999796997,0.021211999950764948,0.75,219.01711613906255,67.58405767037112,21.901711613906258,8
84,420.2414133330657,0.0,0.0,0.021211999950764948,-0.8493759999999999,0.0,67.58405767037112,0.0,9
85,421.2414133330657,0.0,0.0,0.021211999950764948,0.0,0.0,67.58405767037112,0.0,9
86,422.2414133330657,0.0,0.0,0.021211999950764948,0.0,0.0,67.58405767037112,0.0,9
87,423.2414133330657,0.0,0.0,0.021211999950764948,0.0,0.0,67.58405767037112,0.0,9
88,424.2414133330657,0.0,0.0,0.021211999950764948,0.0,0.0,67.58405767037112,0.0,9
89,425.2414133330657,0.0,0.0,0.021211999950764948,0.0,0.0,67.58405767037112,0.0,9
90,426.2414133330657,0.0,0.0,0.021211999950764948,0.0,0.0,67.58405767037112,0.0,9
91,427.2414133330657,0.0,0.0,0.021211999950764948,0.0,0.0,67.58405767037112,0.0,9
92,428.2414133330657,0.0,0.0,0.021211999950764948,0.0,0.0,67.58405767037112,0.0,9
