,time_s,speed_mph,speed_mph_capped,speed_ms,incremental_distance,cumulative_distance,acceleration_mss,power_W,incremental_energy_J,cumulative_energy_J
0,0,0.0,0.0,0.0,0.0,0.0,,,,
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,3.0,3.0,1.34112,1.34112,1.34112,1.34112,3083.506599469053,3083.506599469053,3083.506599469053
22,22,5.9,5.9,2.6375360000000003,2.6375360000000003,3.9786560000000004,1.2964160000000002,5908.171153393096,5908.171153393096,8991.67775286215
23,23,8.6,8.6,3.844544,3.844544,7.8232,1.2070079999999996,8149.196591695176,8149.196591695176,17140.874344557327
24,24,11.5,11.5,5.140960000000001,5.140960000000001,12.96416,1.2964160000000007,11597.049115216003,11597.049115216003,28737.92345977333
25,25,14.3,14.3,6.392672000000001,6.392672000000001,19.356832,1.2517120000000004,14090.501203277174,14090.501203277174,42828.42466305051
26,26,16.9,16.9,7.554975999999999,7.554975999999999,26.911808,1.162303999999998,15794.472744515026,15794.472744515026,58622.897407565535
27,27,17.3,17.3,7.733792000000001,7.733792000000001,34.6456,0.17881600000000208,5407.193205118716,5407.193205118716,64030.09061268425
28,28,18.1,18.1,8.091424000000002,8.091424000000002,42.737024000000005,0.3576320000000006,7744.64787344362,7744.64787344362,71774.73848612787
29,29,20.7,20.7,9.253728,9.253728,51.99075200000001,1.162303999999999,19560.007545229357,19560.007545229357,91334.74603135722
30,30,21.7,21.7,9.700768,9.700768,61.69152000000001,0.44703999999999944,10739.155405341922,10739.155405341922,102073.90143669915
31,31,22.4,22.4,10.013696,10.013696,71.70521600000001,0.31292799999999943,9232.59667181996,9232.59667181996,111306.49810851911
32,32,22.5,22.5,10.0584,10.0584,81.76361600000001,0.04470400000000119,5458.049864675381,5458.049864675381,116764.5479731945
33,33,22.1,22.1,9.879584000000001,9.879584000000001,91.64320000000001,-0.17881599999999942,2203.21570170933,2203.21570170933,118967.76367490382
34,34,21.5,21.5,9.611360000000001,9.611360000000001,101.25456000000001,-0.268224,884.9614229291855,884.9614229291855,119852.72509783301
35,35,20.9,20.9,9.343136,9.343136,110.59769600000001,-0.2682240000000018,821.7730017664152,821.7730017664152,120674.49809959943
36,36,20.4,20.4,9.119615999999999,9.119615999999999,119.717312,-0.2235200000000006,1349.32596158562,1349.32596158562,122023.82406118505
37,37,19.8,19.8,8.851392,8.851392,128.568704,-0.26822399999999824,714.348047487241,714.348047487241,122738.17210867228
38,38,17.0,17.0,7.59968,7.59968,136.168384,-1.2517120000000004,-10104.823085589624,0.0,122738.17210867228
39,39,14.9,14.9,6.660896,6.660896,142.82928,-0.9387840000000001,-5975.15951381999,0.0,122738.17210867228
40,40,14.9,14.9,6.660896,6.660896,149.49017600000002,0.0,2885.8843331386784,2885.8843331386784,125624.05644181096
41,41,15.2,15.2,6.795007999999999,6.795007999999999,156.28518400000002,0.13411199999999912,4245.276544673825,4245.276544673825,129869.33298648478
42,42,15.5,15.5,6.92912,6.92912,163.21430400000003,0.1341120000000009,4339.399562896539,4339.399562896539,134208.73254938133
43,43,16.0,16.0,7.15264,7.15264,170.36694400000002,0.22351999999999972,5403.8345276175905,5403.8345276175905,139612.5670769989
44,44,17.1,17.1,7.644384000000001,7.644384000000001,178.01132800000002,0.4917440000000015,8725.960539497108,8725.960539497108,148338.52761649602
45,45,19.1,19.1,8.538464,8.538464,186.54979200000002,0.894079999999998,14714.702511640746,14714.702511640746,163053.23012813675
46,46,21.1,21.1,9.432544,9.432544,195.98233600000003,0.8940800000000007,16378.32184651638,16378.32184651638,179431.55197465315
47,47,22.7,22.7,10.147808,10.147808,206.13014400000003,0.7152639999999995,15164.072560170234,15164.072560170234,194595.62453482338
48,48,22.9,22.9,10.237216,10.237216,216.36736000000002,0.0894080000000006,6233.69529905841,6233.69529905841,200829.31983388177
49,49,22.7,22.7,10.147808,10.147808,226.51516800000002,-0.0894080000000006,3592.891620996979,3592.891620996979,204422.21145487876
50,50,22.6,22.6,10.103104,10.103104,236.61827200000002,-0.04470399999999941,4209.66378503943,4209.66378503943,208631.87523991818
51,51,21.3,21.3,9.521952,9.521952,246.14022400000002,-0.5811519999999994,-3358.8469043024456,0.0,208631.87523991818
52,52,19.0,19.0,8.49376,8.49376,254.63398400000003,-1.0281920000000007,-8504.276507650766,0.0,208631.87523991818
53,53,17.1,17.1,7.644384000000001,7.644384000000001,262.278368,-0.8493759999999986,-5801.733591182975,0.0,208631.87523991818
