,time_s,speed_mph,speed_mph_capped
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,3.0,3.0
22,22,5.9,5.9
23,23,8.6,8.6
24,24,11.5,11.5
25,25,14.3,14.3
26,26,16.9,16.9
27,27,17.3,17.3
28,28,18.1,18.1
29,29,20.7,20.7
30,30,21.7,21.7
31,31,22.4,22.4
32,32,22.5,22.5
33,33,22.1,22.1
34,34,21.5,21.5
35,35,20.9,20.9
36,36,20.4,20.4
37,37,19.8,19.8
38,38,17.0,17.0
39,39,14.9,14.9
40,40,14.9,14.9
41,41,15.2,15.2
42,42,15.5,15.5
43,43,16.0,16.0
44,44,17.1,17.1
45,45,19.1,19.1
46,46,21.1,21.1
47,47,22.7,22.7
48,48,22.9,22.9
49,49,22.7,22.7
50,50,22.6,22.6
51,51,21.3,21.3
52,52,19.0,19.0
53,53,17.1,17.1
54,54,15.8,15.8
55,55,15.8,15.8
56,56,17.7,17.7
57,57,19.8,19.8
58,58,21.6,21.6
59,59,23.2,23.2
60,60,24.2,24.2
61,61,24.6,24.6
62,62,24.9,24.9
63,63,25.0,25.0
64,64,24.6,24.6
65,65,24.5,24.5
66,66,24.7,24.7
67,67,24.8,24.8
68,68,24.7,24.7
69,69,24.6,24.6
70,70,24.6,24.6
71,71,25.1,25.0
72,72,25.6,25.0
73,73,25.7,25.0
74,74,25.4,25.0
75,75,24.9,24.9
76,76,25.0,25.0
77,77,25.4,25.0
78,78,26.0,25.0
79,79,26.0,25.0
80,80,25.7,25.0
81,81,26.1,25.0
82,82,26.7,25.0
83,83,27.5,25.0
84,84,28.6,25.0
85,85,29.3,25.0
86,86,29.8,25.0
87,87,30.1,25.0
88,88,30.4,25.0
89,89,30.7,25.0
90,90,30.7,25.0
91,91,30.5,25.0
92,92,30.4,25.0
93,93,30.3,25.0
94,94,30.4,25.0
95,95,30.8,25.0
96,96,30.4,25.0
97,97,29.9,25.0
98,98,29.5,25.0
99,99,29.8,25.0
100,100,30.3,25.0
101,101,30.7,25.0
102,102,30.9,25.0
103,103,31.0,25.0
104,104,30.9,25.0
105,105,30.4,25.0
106,106,29.8,25.0
107,107,29.9,25.0
108,108,30.2,25.0
109,109,30.7,25.0
110,110,31.2,25.0
111,111,31.8,25.0
112,112,32.2,25.0
113,113,32.4,25.0
114,114,32.2,25.0
115,115,31.7,25.0
116,116,28.6,25.0
117,117,25.3,25.0
118,118,22.0,22.0
119,119,18.7,18.7
120,120,15.4,15.4
121,121,12.1,12.1
122,122,8.8,8.8
123,123,5.5,5.5
124,124,2.2,2.2
125,125,0.0,0.0
126,126,0.0,0.0
127,127,0.0,0.0
128,128,0.0,0.0
129,129,0.0,0.0
130,130,0.0,0.0
131,131,0.0,0.0
132,132,0.0,0.0
133,133,0.0,0.0
134,134,0.0,0.0
135,135,0.0,0.0
136,136,0.0,0.0
137,137,0.0,0.0
138,138,0.0,0.0
139,139,0.0,0.0
140,140,0.0,0.0
141,141,0.0,0.0
142,142,0.0,0.0
143,143,0.0,0.0
144,144,0.0,0.0
145,145,0.0,0.0
146,146,0.0,0.0
147,147,0.0,0.0
148,148,0.0,0.0
149,149,0.0,0.0
150,150,0.0,0.0
151,151,0.0,0.0
152,152,0.0,0.0
153,153,0.0,0.0
154,154,0.0,0.0
155,155,0.0,0.0
156,156,0.0,0.0
157,157,0.0,0.0
158,158,0.0,0.0
159,159,0.0,0.0
160,160,0.0,0.0
161,161,0.0,0.0
162,162,0.0,0.0
163,163,0.0,0.0
164,164,3.3,3.3
165,165,6.6,6.6
166,166,9.9,9.9
167,167,13.2,13.2
168,168,16.5,16.5
169,169,19.8,19.8
170,170,22.2,22.2
171,171,24.3,24.3
172,172,25.8,25.0
173,173,26.4,25.0
174,174,25.7,25.0
175,175,25.1,25.0
176,176,24.7,24.7
177,177,25.0,25.0
178,178,25.2,25.0
179,179,25.4,25.0
180,180,25.8,25.0
181,181,27.2,25.0
182,182,26.5,25.0
183,183,24.0,24.0
184,184,22.7,22.7
185,185,19.4,19.4
186,186,17.7,17.7
187,187,17.2,17.2
188,188,18.1,18.1
189,189,18.6,18.6
190,190,20.0,20.0
191,191,22.2,22.2
192,192,24.5,24.5
193,193,27.3,25.0
194,194,30.5,25.0
195,195,33.5,25.0
196,196,36.2,25.0
197,197,37.3,25.0
198,198,39.3,25.0
199,199,40.5,25.0
200,200,42.1,25.0
201,201,43.5,25.0
202,202,45.1,25.0
203,203,46.0,25.0
204,204,46.8,25.0
205,205,47.5,25.0
206,206,47.5,25.0
207,207,47.3,25.0
208,208,47.2,25.0
209,209,47.0,25.0
210,210,47.0,25.0
211,211,47.0,25.0
212,212,47.0,25.0
213,213,47.0,25.0
214,214,47.2,25.0
215,215,47.4,25.0
216,216,47.9,25.0
217,217,48.5,25.0
218,218,49.1,25.0
219,219,49.5,25.0
220,220,50.0,25.0
221,221,50.6,25.0
222,222,51.0,25.0
223,223,51.5,25.0
224,224,52.2,25.0
225,225,53.2,25.0
226,226,54.1,25.0
227,227,54.6,25.0
228,228,54.9,25.0
229,229,55.0,25.0
230,230,54.9,25.0
231,231,54.6,25.0
232,232,54.6,25.0
233,233,54.8,25.0
234,234,55.1,25.0
235,235,55.5,25.0
236,236,55.7,25.0
237,237,56.1,25.0
238,238,56.3,25.0
239,239,56.6,25.0
240,240,56.7,25.0
241,241,56.7,25.0
242,242,56.5,25.0
243,243,56.5,25.0
244,244,56.5,25.0
245,245,56.5,25.0
246,246,56.5,25.0
247,247,56.5,25.0
248,248,56.4,25.0
249,249,56.1,25.0
250,250,55.8,25.0
251,251,55.1,25.0
252,252,54.6,25.0
253,253,54.2,25.0
254,254,54.0,25.0
255,255,53.7,25.0
256,256,53.6,25.0
257,257,53.9,25.0
258,258,54.0,25.0
259,259,54.1,25.0
260,260,54.1,25.0
261,261,53.8,25.0
262,262,53.4,25.0
263,263,53.0,25.0
264,264,52.6,25.0
265,265,52.1,25.0
266,266,52.4,25.0
267,267,52.0,25.0
268,268,51.9,25.0
269,269,51.7,25.0
270,270,51.5,25.0
271,271,51.6,25.0
272,272,51.8,25.0
273,273,52.1,25.0
274,274,52.5,25.0
275,275,53.0,25.0
276,276,53.5,25.0
277,277,54.0,25.0
278,278,54.9,25.0
279,279,55.4,25.0
280,280,55.6,25.0
281,281,56.0,25.0
282,282,56.0,25.0
283,283,55.8,25.0
284,284,55.2,25.0
285,285,54.5,25.0
286,286,53.6,25.0
287,287,52.5,25.0
288,288,51.5,25.0
289,289,51.5,25.0
290,290,51.5,25.0
291,291,51.1,25.0
292,292,50.1,25.0
293,293,50.0,25.0
294,294,50.1,25.0
295,295,50.0,25.0
296,296,49.6,25.0
297,297,49.5,25.0
298,298,49.5,25.0
299,299,49.5,25.0
300,300,49.1,25.0
301,301,48.6,25.0
302,302,48.1,25.0
303,303,47.2,25.0
304,304,46.1,25.0
305,305,45.0,25.0
306,306,43.8,25.0
307,307,42.6,25.0
308,308,41.5,25.0
