,time_s,speed_ms,incremental_distance,cumulative_distance,acceleration_mss,power_W,cumulative_energy,incremental_energy_J,segment_number
0,0.0,0.0,0.0,0.0,,,,,1
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21,21.1,0.025,0.0025000000000000005,0.0025000000000000005,0.25,18.78922828652344,1.878922828652344,1.878922828652344,2
22,21.2,0.07500000000000001,0.0075000000000000015,0.010000000000000002,0.5,82.93776061113282,10.172698889765627,8.293776061113283,2
23,21.3,0.15000000000000002,0.015000000000000003,0.025000000000000005,0.75,219.01711613906255,32.074410503671885,21.901711613906258,2
24,21.4,0.25,0.025,0.05,1.0,453.60253652343755,77.43466415601564,45.36025365234376,2
25,21.5,0.375,0.037500000000000006,0.08750000000000001,1.25,813.2764045166016,158.7623046076758,81.32764045166016,2
26,21.6,0.525,0.052500000000000005,0.14,1.5,1324.632802118555,291.22558481953126,132.4632802118555,2
27,21.7,0.7000000000000001,0.07,0.21000000000000002,1.75,2014.2832082625,492.65390564578126,201.42832082625,2
28,21.8,0.9000000000000001,0.09000000000000002,0.30000000000000004,2.0,2908.8633360375,783.5402392495313,290.88633360375,2
29,21.9,1.1,0.11000000000000001,0.41000000000000003,2.0,3555.6339592125,1139.1036351707812,355.56339592125005,2
30,22.0,1.3,0.13,0.54,2.0,4202.6185114875,1559.365486319531,420.26185114875,2
31,22.1,1.5,0.15000000000000002,0.6900000000000001,2.0,4849.8558890625,2044.3510752257812,484.98558890625003,2
32,22.2,1.7,0.17,0.8600000000000001,2.0,5497.3849881375,2594.0895740395313,549.73849881375,2
33,22.3,1.9,0.19,1.05,2.0,6145.244704912499,3208.614044530781,614.52447049125,2
34,22.4,2.1,0.21000000000000002,1.26,2.0,6793.4739355875,3887.961438089531,679.34739355875,2
35,22.5,2.3000000000000003,0.23000000000000004,1.49,2.0,7442.111576362501,4632.172595725781,744.2111576362502,2
36,22.6,2.5000000000000004,0.25000000000000006,1.74,2.0,8091.196523437502,5441.2922480695315,809.1196523437502,2
37,22.7,2.7000000000000006,0.2700000000000001,2.0100000000000002,2.0,8740.767673012502,6315.369015370782,874.0767673012502,2
38,22.8,2.900000000000001,0.2900000000000001,2.3000000000000003,2.0,9390.863921287502,7254.455407499532,939.0863921287503,2
39,22.900000000000002,3.100000000000001,0.3100000000000001,2.6100000000000003,2.0,10041.524164462502,8258.607823945782,1004.1524164462503,2
40,23.0,3.300000000000001,0.3300000000000001,2.9400000000000004,2.0,10692.787298737503,9327.886553819531,1069.2787298737503,2
41,23.1,3.5000000000000013,0.35000000000000014,3.2900000000000005,2.0,11344.692220312505,10462.355775850781,1134.4692220312506,2
42,23.2,3.7000000000000015,0.37000000000000016,3.6600000000000006,2.0,11997.277825387506,11662.083558389531,1199.7277825387507,2
43,23.3,3.9000000000000017,0.3900000000000002,4.050000000000001,2.0,12650.583010162505,12927.141859405781,1265.0583010162507,2
44,23.400000000000002,4.100000000000001,0.41000000000000014,4.460000000000001,2.0,13304.646670837505,14257.606526489531,1330.4646670837506,2
45,23.5,4.300000000000002,0.43000000000000016,4.890000000000001,2.0,13959.507703612506,15653.557296850782,1395.9507703612508,2
46,23.6,4.500000000000002,0.4500000000000002,5.340000000000001,2.0,14615.205004687505,17115.077797319533,1461.5205004687505,2
47,23.700000000000003,4.700000000000002,0.4700000000000002,5.8100000000000005,2.0,15271.777470262507,18642.255544345782,1527.1777470262507,2
48,23.8,4.900000000000002,0.4900000000000002,6.300000000000001,2.0,15929.263996537507,20235.181943999534,1592.9263996537509,2
49,23.900000000000002,5.100000000000002,0.5100000000000002,6.8100000000000005,2.0,16587.70347971251,21893.952291970785,1658.7703479712509,2
50,24.0,5.3000000000000025,0.5300000000000002,7.340000000000001,2.0,17247.13481598751,23618.665773569537,1724.713481598751,2
51,24.1,5.500000000000003,0.5500000000000003,7.890000000000001,2.0,17907.596901562505,25409.425463725787,1790.7596901562506,2
52,24.200000000000003,5.700000000000003,0.5700000000000003,8.46,2.0,18569.128632637512,27266.33832698954,1856.9128632637512,2
53,24.3,5.900000000000003,0.5900000000000003,9.05,2.0,19231.768905412508,29189.51521753079,1923.176890541251,2
54,24.400000000000002,6.100000000000003,0.6100000000000003,9.66,2.0,19895.556616087513,31179.07087913954,1989.5556616087515,2
55,24.5,6.300000000000003,0.6300000000000003,10.290000000000001,2.0,20560.530660862514,33235.123945225794,2056.0530660862514,2
56,24.6,6.5000000000000036,0.6500000000000004,10.940000000000001,2.0,21226.72993593751,35357.79693881955,2122.672993593751,2
57,24.700000000000003,6.700000000000004,0.6700000000000004,11.610000000000001,2.0,21894.193337512515,37547.216272570804,2189.4193337512515,2
58,24.8,6.900000000000004,0.6900000000000004,12.3,2.0,22562.95976178751,39803.512248749554,2256.295976178751,2
59,24.900000000000002,7.100000000000004,0.7100000000000004,13.010000000000002,2.0,23233.068104962513,42126.819059245805,2323.3068104962513,2
60,25.0,7.300000000000004,0.7300000000000004,13.740000000000002,2.0,23904.557263237515,44517.274785569556,2390.4557263237516,2
61,25.1,7.500000000000004,0.7500000000000004,14.490000000000002,2.0,24577.466132812515,46975.021398850804,2457.7466132812515,2
62,25.200000000000003,7.700000000000005,0.7700000000000005,15.260000000000002,2.0,25251.83360988751,49500.20475983956,2525.1833609887512,2
63,25.3,7.900000000000005,0.7900000000000005,16.05,2.0,25927.698590662516,52092.97461890581,2592.7698590662517,2
64,25.4,8.100000000000005,0.8100000000000005,16.86,2.0,26605.099971337517,54753.48461603957,2660.5099971337518,2
65,25.5,8.300000000000004,0.8300000000000005,17.69,2.0,27284.076648112514,57481.89228085082,2728.4076648112514,2
66,25.6,8.500000000000004,0.8500000000000004,18.540000000000003,2.0,27964.66751718751,60278.35903256957,2796.4667517187513,2
67,25.7,8.700000000000003,0.8700000000000003,19.410000000000004,2.0,28646.91147476251,63143.05018004582,2864.691147476251,2
68,25.799999999999997,8.900000000000002,0.8900000000000002,20.300000000000004,2.0,29330.847417037505,66076.13492174957,2933.0847417037508,2
69,25.9,9.100000000000001,0.9100000000000001,21.210000000000004,2.0,30016.514240212502,69077.78634577083,3001.6514240212505,2
70,26.0,9.3,0.9300000000000002,22.140000000000004,2.0,30703.9508404875,72148.18142981958,3070.3950840487505,2
71,26.099999999999998,9.5,0.9500000000000001,23.090000000000003,2.0,31393.196114062503,75287.50104122583,3139.3196114062503,2
72,26.199999999999996,9.7,0.97,24.060000000000002,2.0,32084.288957137498,78495.92993693957,3208.42889571375,2
73,26.299999999999997,9.899999999999999,0.9899999999999999,25.05,2.0,32777.2682659125,81773.65676353083,3277.72682659125,2
74,26.4,10.099999999999998,1.0099999999999998,26.060000000000002,2.0,33472.17293658749,85120.87405718958,3347.2172936587494,2
75,26.499999999999996,10.299999999999997,1.0299999999999998,27.090000000000003,2.0,34169.04186536249,88537.77824372583,3416.9041865362487,2
76,26.599999999999994,10.499999999999996,1.0499999999999996,28.140000000000004,2.0,34867.91394843748,92024.56963856958,3486.7913948437485,2
77,26.699999999999996,10.699999999999996,1.0699999999999996,29.210000000000004,2.0,35568.828082012486,95581.45244677083,3556.8828082012487,2
78,26.799999999999997,10.899999999999995,1.0899999999999996,30.300000000000004,2.0,36271.82316228748,99208.63476299957,3627.1823162287483,2
79,26.899999999999995,11.099999999999994,1.1099999999999994,31.410000000000004,2.0,36976.93808546248,102906.32857154582,3697.6938085462484,2
80,26.999999999999993,11.176,1.1176000000000001,32.52760000000001,2.0,37245.44566995373,106630.8731385412,3724.5445669953733,2
